Data type,Cancer group/site,Year,Sex,Age group (years),Count
Actual,Melanoma of the skin,1988,Males,80-84,96
Actual,Melanoma of the skin,1989,Males,80-84,131
Actual,Melanoma of the skin,1990,Males,80-84,135
Actual,Melanoma of the skin,1991,Males,80-84,153
Actual,Melanoma of the skin,1992,Males,80-84,173
Actual,Melanoma of the skin,1993,Males,80-84,183
Actual,Melanoma of the skin,1994,Males,80-84,202
Actual,Melanoma of the skin,1995,Males,80-84,215
Actual,Melanoma of the skin,1996,Males,80-84,252
Actual,Melanoma of the skin,1997,Males,80-84,243
Actual,Melanoma of the skin,1998,Males,80-84,244
Actual,Melanoma of the skin,1999,Males,80-84,289
Actual,Melanoma of the skin,2000,Males,80-84,295
Actual,Melanoma of the skin,2001,Males,80-84,329
Actual,Melanoma of the skin,2002,Males,80-84,360
Actual,Melanoma of the skin,2003,Males,80-84,405
Actual,Melanoma of the skin,2004,Males,80-84,487
Actual,Melanoma of the skin,2005,Males,80-84,508
Actual,Melanoma of the skin,2006,Males,80-84,475
Actual,Melanoma of the skin,2007,Males,80-84,539
Actual,Melanoma of the skin,2008,Males,80-84,649
Actual,Melanoma of the skin,2009,Males,80-84,568
Actual,Melanoma of the skin,2010,Males,80-84,643
Actual,Melanoma of the skin,2011,Males,80-84,599
Actual,Melanoma of the skin,2012,Males,80-84,584
Actual,Melanoma of the skin,2013,Males,80-84,674
Actual,Melanoma of the skin,2014,Males,80-84,731
Actual,Melanoma of the skin,2015,Males,80-84,639
Actual,Melanoma of the skin,2016,Males,80-84,725
Actual,Melanoma of the skin,2017,Males,80-84,771
Actual,Melanoma of the skin,2018,Males,80-84,781
Actual,Melanoma of the skin,2019,Males,80-84,814
Actual,Melanoma of the skin,2020,Males,80-84,840
Projections,Melanoma of the skin,2021,Males,80-84,932
Projections,Melanoma of the skin,2022,Males,80-84,983
Projections,Melanoma of the skin,2023,Males,80-84,"1,027"
Projections,Melanoma of the skin,2024,Males,80-84,"1,094"
Actual,Melanoma of the skin,1982,Females,80-84,43
Actual,Melanoma of the skin,1983,Females,80-84,56
Actual,Melanoma of the skin,1984,Females,80-84,80
Actual,Melanoma of the skin,1985,Females,80-84,71
Actual,Melanoma of the skin,1986,Females,80-84,81
Actual,Melanoma of the skin,1987,Females,80-84,92
Actual,Melanoma of the skin,1988,Females,80-84,104
Actual,Melanoma of the skin,1989,Females,80-84,105
Actual,Melanoma of the skin,1990,Females,80-84,99
Actual,Melanoma of the skin,1991,Females,80-84,133
Actual,Melanoma of the skin,1992,Females,80-84,132
Actual,Melanoma of the skin,1993,Females,80-84,153
Actual,Melanoma of the skin,1994,Females,80-84,152
Actual,Melanoma of the skin,1995,Females,80-84,165
Actual,Melanoma of the skin,1996,Females,80-84,174
Actual,Melanoma of the skin,1997,Females,80-84,177
Actual,Melanoma of the skin,1998,Females,80-84,180
Actual,Melanoma of the skin,1999,Females,80-84,209
Actual,Melanoma of the skin,2000,Females,80-84,206
Actual,Melanoma of the skin,2001,Females,80-84,214
Actual,Melanoma of the skin,2002,Females,80-84,274
Actual,Melanoma of the skin,2003,Females,80-84,252
Actual,Melanoma of the skin,2004,Females,80-84,254
Actual,Melanoma of the skin,2005,Females,80-84,325
Actual,Melanoma of the skin,2006,Females,80-84,297
Actual,Melanoma of the skin,2007,Females,80-84,326
Actual,Melanoma of the skin,2008,Females,80-84,326
Actual,Melanoma of the skin,2009,Females,80-84,346
Actual,Melanoma of the skin,2010,Females,80-84,338
Actual,Melanoma of the skin,2011,Females,80-84,371
Actual,Melanoma of the skin,2012,Females,80-84,345
Actual,Melanoma of the skin,2013,Females,80-84,395
Actual,Melanoma of the skin,2014,Females,80-84,374
Actual,Melanoma of the skin,2015,Females,80-84,385
Actual,Melanoma of the skin,2016,Females,80-84,375
Actual,Melanoma of the skin,2017,Females,80-84,396
